,id,main_category,sub_category,product_name,brand,price,store_skuId,timestamp,store_storeId,store_storeName,store_quantity,store_availabilityInfo,store_clickNcollect1h
16913,8526892.0,fahrrad-welt,fahrrader,E-Bike City Bike Long Distance 28 Zoll Elops LD500E HF Herren,ELOPS,1499.0,2652459,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
16933,8526892.0,fahrrad-welt,fahrrader,E-Bike City Bike Long Distance 28 Zoll Elops LD500E HF Herren,ELOPS,1499.0,2652461,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
16953,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4569699,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
17206,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4569701,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
17459,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4803519,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
17711,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4976575,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
17964,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4448753,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
18217,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4448754,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
18470,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4448755,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
18723,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4803522,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
18975,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4803523,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
19228,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4803524,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
19481,8758087.0,fahrrad-welt,fahrrader,Rennrad – EDR Easy Van Rysel weiss,TRIBAN,399.99,4803525,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
19734,8575940.0,fahrrad-welt,fahrrader,Rennrad Gravelbike Triban GRVL 120 Herren,TRIBAN,799.99,2962864,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
19980,8575940.0,fahrrad-welt,fahrrader,Rennrad Gravelbike Triban GRVL 120 Herren,TRIBAN,799.99,2962862,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
20225,8575940.0,fahrrad-welt,fahrrader,Rennrad Gravelbike Triban GRVL 120 Herren,TRIBAN,799.99,2962861,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
20471,8575940.0,fahrrad-welt,fahrrader,Rennrad Gravelbike Triban GRVL 120 Herren,TRIBAN,799.99,2962860,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
20717,8575940.0,fahrrad-welt,fahrrader,Rennrad Gravelbike Triban GRVL 120 Herren,TRIBAN,799.99,2962863,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
22723,8653537.0,fahrrad-welt,fahrrader,Trekkingrad 28 Zoll Riverside 320 TR Herren,RIVERSIDE,369.99,4357013,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
22972,8653537.0,fahrrad-welt,fahrrader,Trekkingrad 28 Zoll Riverside 320 TR Herren,RIVERSIDE,369.99,4357014,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
23221,8653537.0,fahrrad-welt,fahrrader,Trekkingrad 28 Zoll Riverside 320 TR Herren,RIVERSIDE,369.99,4357015,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
23470,8653537.0,fahrrad-welt,fahrrader,Trekkingrad 28 Zoll Riverside 320 TR Herren,RIVERSIDE,369.99,4357016,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
23718,8600059.0,fahrrad-welt,fahrrader,Mountainbike Kinderfahrrad 26 Zoll Rockrider ST 500 orange,ROCKRIDER,299.99,4101226,2024-05-10 20:04:18.367934,0070072800728,Essen,2,False,True
23963,8600059.0,fahrrad-welt,fahrrader,Mountainbike Kinderfahrrad 26 Zoll Rockrider ST 500 orange,ROCKRIDER,299.99,4227696,2024-05-10 20:04:18.367934,0070072800728,Essen,4,False,True
24209,8600059.0,fahrrad-welt,fahrrader,Mountainbike Kinderfahrrad 26 Zoll Rockrider ST 500 orange,ROCKRIDER,299.99,4227697,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
24455,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,2685541,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
24701,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,2685539,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
24947,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,2685538,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
25193,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,2685537,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
25439,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,2685540,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
25685,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,4241340,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
25931,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,4241338,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
26177,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,4241337,2024-05-10 20:04:18.367934,0070072800728,Essen,1,False,False
26422,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,4241336,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
26668,8545836.0,fahrrad-welt,fahrrader,Rennrad RC 120 Scheibenbremse marineblau/orange,TRIBAN,579.99,4241339,2024-05-10 20:04:18.367934,0070072800728,Essen,0,False,False
26914,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4116101,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,2,False,True
27154,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4116100,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,3,False,True
27394,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4116099,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,1,False,False
27634,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4116102,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,2,False,True
27874,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4266485,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,0,False,False
28114,8602020.0,fahrrad-welt,fahrrader,"Mountainbike Trekking ST 120 27,5 Zoll schwarz/blau",ROCKRIDER,359.99,4266484,2024-05-10 20:10:39.427745,0070206002060,Dortmund-Kampstrasse ,3,False,True
