id,main_category,sub_category,product_name,brand,price,timestamp,store_aboveThreshold,store_address,store_availabilityInfo,store_clickNcollect1h,store_favoriteStore,store_latitude,store_longitude,store_optionId,store_originId,store_phoneNumber,store_priceId,store_quantity,store_quantityShowroom,store_replenishmentEndDate,store_replenishmentStartDate,store_securedStockLevel,store_skuId,store_storeId,store_storeName,store_storeSchedule,store_storeUrl
8801648,damen,jacken,Regenjacke Segeln Damen wasserdicht winddicht - 300 marineblau,TRIBORD,"49,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,3,0,,,1,4194320,0070048700487,Würzburg,,
8801648,damen,jacken,Regenjacke Segeln Damen wasserdicht winddicht - 300 marineblau,TRIBORD,"49,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,6,0,,,1,4194319,0070048700487,Würzburg,,
8801648,damen,jacken,Regenjacke Segeln Damen wasserdicht winddicht - 300 marineblau,TRIBORD,"49,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194322,0070048700487,Würzburg,,
8801648,damen,jacken,Regenjacke Segeln Damen wasserdicht winddicht - 300 marineblau,TRIBORD,"49,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194316,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,2,0,,,1,4194321,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,3,0,,,1,4194320,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,6,0,,,1,4194319,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194322,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194316,0070048700487,Würzburg,,
8343820,damen,jacken,3-in-1-Jacke Damen bis -10 °C wasserdicht - Travel 700 schwarz,FORCLAZ,"109,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,4,0,,,1,4194317,0070048700487,Würzburg,,
8550541,damen,jacken,Softshellweste Damen - Trek 500 dunkelblau,FORCLAZ,"34,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,3,0,,,1,4194320,0070048700487,Würzburg,,
8550541,damen,jacken,Softshellweste Damen - Trek 500 dunkelblau,FORCLAZ,"34,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,6,0,,,1,4194319,0070048700487,Würzburg,,
8550541,damen,jacken,Softshellweste Damen - Trek 500 dunkelblau,FORCLAZ,"34,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194322,0070048700487,Würzburg,,
8550541,damen,jacken,Softshellweste Damen - Trek 500 dunkelblau,FORCLAZ,"34,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,4,0,,,1,4194317,0070048700487,Würzburg,,
8641502,damen,jacken,Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,QUECHUA,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,2,0,,,1,4194321,0070048700487,Würzburg,,
8641502,damen,jacken,Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,QUECHUA,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,6,0,,,1,4194319,0070048700487,Würzburg,,
8641502,damen,jacken,Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,QUECHUA,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194322,0070048700487,Würzburg,,
8641502,damen,jacken,Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,QUECHUA,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,False,False,0,0,,,,,1,0,,,1,4194316,0070048700487,Würzburg,,
8641502,damen,jacken,Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,QUECHUA,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,4,0,,,1,4194317,0070048700487,Würzburg,,
8841923,damen,jacken,Spraytop Segeln/Kajak Damen winddicht - 500 blau,TRIBORD,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,2,0,,,1,4194321,0070048700487,Würzburg,,
8841923,damen,jacken,Spraytop Segeln/Kajak Damen winddicht - 500 blau,TRIBORD,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,3,0,,,1,4194320,0070048700487,Würzburg,,
8841923,damen,jacken,Spraytop Segeln/Kajak Damen winddicht - 500 blau,TRIBORD,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,6,0,,,1,4194319,0070048700487,Würzburg,,
8841923,damen,jacken,Spraytop Segeln/Kajak Damen winddicht - 500 blau,TRIBORD,"39,99 €",2024-04-29 22:19:27.797516,False,,inStock,True,False,0,0,,,,,4,0,,,1,4194317,0070048700487,Würzburg,,
